!!$**********************************************************************************
!!$
!!$                     COPYRIGHT (C) 2020 HADI BORDBAR
!!$
!!$                     DEPARTMENT OF CIVIL ENGINEERING
!!$                       AALTO UNIVERSITY, FINLAND
!!$
!!$	License: 
!!$		Used for non-commercial purposes only with the permission of the copywriter
!!$		Not to be distributed without the permission of the copywriter
!!$
!!$**********************************************************************************
=========================================================================================
The final model parameters for pressurized WSGG model
Based on Emissivity datasets obtained by LBL data
of linear absorption coefficient of two gases
Programmed and obtained by Hadi Bordbar, Aalto University, Finland.
=========================================================================================
Case Information
Total Pressure=30.000000 atm
The emissivity datasets have been obtained for the following conditions
33 Mr points: 0.1, 0.125....4.0
55 temperature points 300-3000 K with the step of 50 K
19 path length points; 0.01,0.05,0.1,0.2,0.3,0.4,0.5,0.75,1.0,1.5,2.0,3.0,5.0,10.015.0,20.0,30.0,45.0,60.0 m 
==================================================================================================================
  Pt (atm)    a(i,j)or k(i)         b4            b3            b2            b1            b0 
 ========================================================================================================
 30.000000         1 1       2.638898e-03  -2.370445e-02  6.980511e-02  -6.857974e-02  6.812277e-02  
 30.000000         1 2       -8.305665e-03  7.383057e-02  -2.168906e-01  2.333643e-01  -5.077481e-01  
 30.000000         1 3       1.031874e-02  -9.169260e-02  2.782800e-01  -3.723881e-01  1.035702e+00  
 30.000000         1 4       -4.433720e-03  3.825523e-02  -1.133038e-01  1.665686e-01  -5.416959e-01  
 30.000000         1 5       6.049548e-04  -4.881643e-03  1.317960e-02  -2.073627e-02  9.066680e-02  
 30.000000         1 0       -6.397041e-05  6.635360e-04  -2.464032e-03  3.841745e-03  2.305068e-03  
 30.000000         2 1       -1.515378e-03  2.876884e-02  -1.747565e-01  4.443750e-01  -1.034386e-01  
 30.000000         2 2       5.200556e-02  -5.564110e-01  2.201718e+00  -3.996093e+00  2.683799e+00  
 30.000000         2 3       -1.032407e-01  1.062179e+00  -3.987449e+00  6.739753e+00  -3.992086e+00  
 30.000000         2 4       6.446805e-02  -6.535502e-01  2.398043e+00  -3.900576e+00  2.118578e+00  
 30.000000         2 5       -1.301432e-02  1.308615e-01  -4.736104e-01  7.504587e-01  -3.868023e-01  
 30.000000         2 0       -1.214723e-02  1.201086e-01  -4.153339e-01  5.803952e-01  2.552144e-01  
 30.000000         3 1       -6.129801e-03  4.909463e-02  -1.037922e-01  -5.056048e-02  7.505204e-02  
 30.000000         3 2       -2.340322e-03  6.200289e-02  -4.484978e-01  1.372030e+00  -7.358966e-01  
 30.000000         3 3       2.941527e-02  -3.345739e-01  1.438266e+00  -2.967430e+00  2.107032e+00  
 30.000000         3 4       -2.679799e-02  2.844900e-01  -1.117633e+00  2.042616e+00  -1.434854e+00  
 30.000000         3 5       6.534037e-03  -6.770251e-02  2.566039e-01  -4.428380e-01  2.967533e-01  
 30.000000         3 0       -1.492467e-03  1.499796e-02  -5.306084e-02  7.608033e-02  3.290332e-02  
 30.000000         4 1       4.738201e-03  -5.133387e-02  1.976418e-01  -3.048757e-01  9.666280e-01  
 30.000000         4 2       -3.951780e-02  4.020089e-01  -1.468502e+00  2.281579e+00  -1.523332e+00  
 30.000000         4 3       6.286530e-02  -6.285188e-01  2.239517e+00  -3.344031e+00  1.125855e+00  
 30.000000         4 4       -3.596161e-02  3.562006e-01  -1.249224e+00  1.804129e+00  -4.240894e-01  
 30.000000         4 5       6.951989e-03  -6.843888e-02  2.373319e-01  -3.337574e-01  6.404694e-02  
 30.000000         4 0       -7.657004e-02  7.730233e-01  -2.748326e+00  3.971119e+00  3.532145e+00  
